train,test,delta,nll_raw
sdss,sdss,-0.3,-1.6416553203227393
sdss,sdss,-0.25,-1.6986668811531571
sdss,sdss,-0.2,-1.7481392385177017
sdss,sdss,-0.15,-1.788603058638727
sdss,sdss,-0.1,-1.8187325272607315
sdss,sdss,-0.05,-1.837430825027838
sdss,sdss,-0.0,-1.843906229806799
sdss,sdss,0.05,-1.8377430595304793
sdss,sdss,0.1,-1.818955072810948
sdss,sdss,0.15,-1.788015651894705
sdss,sdss,0.2,-1.7458557388708709
sdss,sdss,0.25,-1.693828149271132
sdss,sdss,0.3,-1.6336229566055174
sdss,desi,-0.3,-0.41890588192583184
sdss,desi,-0.25,-0.45427325416251413
sdss,desi,-0.2,-0.49143320156913944
sdss,desi,-0.15,-0.5305473878375189
sdss,desi,-0.1,-0.571740500389528
sdss,desi,-0.05,-0.6150875236609428
sdss,desi,-0.0,-0.6605910373915265
sdss,desi,0.05,-0.7081635024119897
sdss,desi,0.1,-0.7576105783268575
sdss,desi,0.15,-0.8086118614575726
sdss,desi,0.2,-0.8607148654497148
sdss,desi,0.25,-0.9133226385221392
sdss,desi,0.3,-0.9657033944954249
desi,sdss,-0.3,-1.496514345745391
desi,sdss,-0.25,-1.474417154849283
desi,sdss,-0.2,-1.4511031866983208
desi,sdss,-0.15,-1.4269020460428825
desi,sdss,-0.1,-1.402103437658347
desi,sdss,-0.05,-1.3769442676462778
desi,sdss,-0.0,-1.3516058917120093
desi,sdss,0.05,-1.32621652292176
desi,sdss,0.1,-1.3008558752342048
desi,sdss,0.15,-1.275565310476876
desi,sdss,0.2,-1.2503546316608734
desi,sdss,0.25,-1.225214637714375
desi,sdss,0.3,-1.200122110979515
desi,desi,-0.3,-1.6524362247747255
desi,desi,-0.25,-1.677312139360824
desi,desi,-0.2,-1.697983594081279
desi,desi,-0.15,-1.7142394802321572
desi,desi,-0.1,-1.7259551103915827
desi,desi,-0.05,-1.7330911005325076
desi,desi,-0.0,-1.7356866626993293
desi,desi,0.05,-1.7338533276411316
desi,desi,0.1,-1.7277653997745646
desi,desi,0.15,-1.7176528199038315
desi,desi,0.2,-1.7037920501401942
desi,desi,0.25,-1.686501258387749
desi,desi,0.3,-1.6661332670547413
