survey,line,pit_mean,pit_std,cov68,cov90
SDSS,H$\beta$,0.5015850666666667,0.289187442034278,0.6848,0.8942
SDSS,H$\gamma$,0.5005578666666667,0.2880041744803633,0.6862,0.8972
SDSS,[N II],0.4978261333333333,0.2900689943853282,0.6745333333333333,0.9020666666666667
SDSS,[S II]$_{6716}$,0.5011025333333333,0.2895300249604214,0.6822666666666667,0.8966
SDSS,[S II]$_{6731}$,0.5039781333333334,0.2876462207675409,0.6877333333333333,0.8983333333333333
SDSS,[O II]$_{3726}$,0.4984342666666666,0.28899224432349196,0.6805333333333333,0.8954
SDSS,[O II]$_{3729}$,0.5002757333333334,0.28862689312985984,0.6832,0.8949333333333334
SDSS,[O III],0.49907719999999994,0.29176252153676857,0.6726,0.8960666666666667
DESI,H$\beta$,0.4992828,0.28934943492398024,0.6832,0.8952
DESI,H$\gamma$,0.4997158666666666,0.28854678292248476,0.6813333333333333,0.9010666666666667
DESI,[N II],0.49634106666666666,0.2892109706428779,0.6805333333333333,0.8977333333333334
DESI,[S II]$_{6716}$,0.5059629333333333,0.28652829661203716,0.6889333333333333,0.904
DESI,[S II]$_{6731}$,0.5024377333333333,0.2857691135448258,0.6915333333333333,0.9009333333333334
DESI,[O II]$_{3726}$,0.5044078666666667,0.2881415842569683,0.6824,0.8978
DESI,[O II]$_{3729}$,0.5048145333333334,0.2893532175999584,0.6803333333333333,0.8962
DESI,[O III],0.5017209333333333,0.2928875875174562,0.6694,0.8956666666666667
