line,KS_stat,KS_pvalue,Wasserstein1_dex,median_shift_(B-A)_dex,scatter_diff_dex,comp
Hbeta,0.13875,0.0,0.17805336407411398,-0.020087912238020422,0.23857948893430037,SDSS_vs_DESI
Hgamma,0.14253,0.0,0.26338345842915184,-0.02263221465655363,0.4679725803575018,SDSS_vs_DESI
NII6584,0.20782,0.0,0.18327982136538667,0.11314857668441825,0.38952816916589805,SDSS_vs_DESI
SII671x,0.10626999999999998,0.0,0.1217126566886313,0.015608794105181012,0.3499416470153889,SDSS_vs_DESI
SII6731,0.08074000000000003,5.66243452250889e-284,0.23531958430425917,0.00403728346743204,0.3719233847610529,SDSS_vs_DESI
OII3726,0.09008000000000005,0.0,0.29121290062744715,-0.007379349895625609,0.6023083158559794,SDSS_vs_DESI
OII3729,0.14621000000000006,0.0,0.20616401991458957,0.12846820976954287,0.55421098223517,SDSS_vs_DESI
OIII5007,0.12317,0.0,0.18605791165567853,0.0945268589397168,0.7251895877589964,SDSS_vs_DESI
Hbeta,0.16798595938249936,0.0,0.24016736258588267,-0.019585104367475736,0.29433427373226795,SDSS_vs_DESI_SDSSLIKE
Hgamma,0.24664207170743946,0.0,0.3441500431452874,0.08589408813001675,0.5647848333805999,SDSS_vs_DESI_SDSSLIKE
NII6584,0.48074787778931904,0.0,0.44412530076763485,0.4013841045918003,0.43345760873627553,SDSS_vs_DESI_SDSSLIKE
SII671x,0.38264264479386795,0.0,0.2951562422231585,0.24312609077324687,0.43469381739580726,SDSS_vs_DESI_SDSSLIKE
SII6731,0.340807335506286,0.0,0.38669868486106473,0.1939998398492282,0.46047651097895714,SDSS_vs_DESI_SDSSLIKE
OII3726,0.35040653318528603,0.0,0.3988923916503536,0.3135953861366456,0.6402076468494468,SDSS_vs_DESI_SDSSLIKE
OII3729,0.4028439414019127,0.0,0.4206481127339521,0.3932369889072156,0.6314577901652596,SDSS_vs_DESI_SDSSLIKE
OIII5007,0.37415380207027477,0.0,0.4623459872926492,0.46464342893913724,0.705462293221041,SDSS_vs_DESI_SDSSLIKE
Hbeta,0.044987284644865455,5.458478230672617e-25,0.06902019887125822,0.00045860814380915826,0.41918349554604584,DESI_vs_DESI_SDSSLIKE
Hgamma,0.14280597442601806,7.053275509469071e-249,0.17569408410125614,0.11420343640821429,0.763586986393268,DESI_vs_DESI_SDSSLIKE
NII6584,0.3386940793008346,0.0,0.26722767469278585,0.2701824747947956,0.49139615124416913,DESI_vs_DESI_SDSSLIKE
SII671x,0.29950929474551385,0.0,0.19751022527283005,0.19687453923289233,0.4988993131258661,DESI_vs_DESI_SDSSLIKE
SII6731,0.28099143952147276,0.0,0.18433177721039723,0.19014514256383208,0.5605602629662614,DESI_vs_DESI_SDSSLIKE
OII3726,0.27963035925355495,0.0,0.3632290023655508,0.316014888463684,0.7857304368983946,DESI_vs_DESI_SDSSLIKE
OII3729,0.25860525090440195,0.0,0.2188518825074004,0.24445288362027107,0.7072194560504551,DESI_vs_DESI_SDSSLIKE
OIII5007,0.2796661771553422,0.0,0.32537149811015664,0.3530574516284233,0.8289180011751662,DESI_vs_DESI_SDSSLIKE
